username,review,calificacion
Frank Panibri,Super buen lugar Lástima que por la pandemia este cerrando Ya se extraña tomar un rico cafe.,4
ivan cruz,Muy atento el personal con todas las medidas ,4
juan francisco diaz montalvo,"Puede mejorar, sobre todo la atención al cliente.",2
Rolando Cárdenas Velasco,Nueva carta excelentes platillos y ahora con su promoción muy bien,4
M. Araceli R. N.,Buen servicio dentro de sucursal,3
Liliana Perez,"Me gusta vips en general, sin embargo este lugar a mi parecer es un poco lento y no es de ahora he ido otras veces, pero por la ubicación y el costo todo bien!",3
Miguel Angel Hernandez Presa,Excelente trato y atención,4
Nancy Castillo,El servicio esta bien,2
Angel Mialma,Buena Sucursal,4
DRC VINI,Muy rápido y eficiente servicio e igual que los otros algo caro.,3
Kathalina Solís,"¡¡ Limpio, tranquilo, buena comida y buena atención !!",4
Leticia Cruz,Buen servicio y todo el personal muy amable,4
Clarita BD,"Sinceramente mucho que desear en los alimentos, lo que tienen en la carta no todo esta disponible y la carne arrachera tampiqueña llena de nervios mal cocida, la minalesa de res de cartón y chiclosa, no hubo malteada de vainilla, me dieron…",0
Norma Lopez,La mesera ya estaba muy cansada,2
Tamariz,Bien,2
arturo Gonzalez,"Les falta poner atención en las mesas de afuera, de allí en más todo bien.",3
juan francisco meza aguilar,"Un poco venido a menos, servicio apenas y calidad deteriorada. Sin bolillo en el desayuno es una penuria. La calidad del café batalla con la cantidad de agua, o más café o menos agua.",3
Luis J Blancas G,Buen servicio y la comida muy bien,4
THE KING,Buena limpieza y buena atención al cliente,4
Betty Rodriguez,Excelente trato para los clientes,3
Eduardo Abascal,Excelente atención y servicio,3
Marcos Villegas,Buen lugar para comer,4
Victor León,Buen lugar para comer.,4
Ofelia Aguilar V.,Excelente atención de la Señorita.,4
Jose Luis Ramirez,La comida ha bajado mucho en calidad.,2
Maru Valdez,"El servicio es muy austero, con esto del COVID-19 Se elevaron los precios bastante y ya no es lo mismo. Las meseras siguen atendiendo bien, pero referente a los alimentos deja mucho que desear.",1
Polpaty G,Hacia muchos años que no visitaba este Vips. Es muy recomendable por su ubicación accesible por Periférico tanto para los que llegan en automóvil (hay estacionamiento) como para los que llegan en transporte público ( a unos pasos está una…,2
Rich Rendon,"Pésimo lugar , dos visitas que he tenido ahí ,falta de atención al cliente ,tiene uno que estar pidiendo que lo atiendan principalmente en el café además de frío .",1
Ricardo Hernández Contreras,La atención es buena y hay suficiente espacio tanto limpio como ordenado para poder ir sin problemas de aglomeración,4
Fabian Medina,Lugar legendario,4
JORGE BENITEZ,Comparte estacionamiento con Walmart así que es muy fácil encontrar lugar,3
Ronaldo Gonzalez,Esta muy bien el lugar solo que siento que ya le hace falta actualizarse en cuestión del lugar,3
Salim Haneine,"Reabrieron, qué bueno. Como siempre, buen servicio y atención.",4
Flavio Tovar,"Buen lugar, me gusta desayunar. Están bien organizados y cuidan tener sanitizado y todo lo relacionado con el COVID-19",4
Fer Seve,"La calidad de siempre, pero con sana distancia",3
Alberto García bustos,Muy bueno los servicios,4
Michelle “Michelodeon” Badallo,"Es un buen lugar con estacionamiento, hay un walmart y una farmacia del ahorro cerca, a mi parecer las mesas no son tan privadas, pero es acogedor y por las tardes se disfruta mucho la luz del sol ahi. Es algo ruidoso pero el servicio es bueno.",4
pedro gonzalez,"Buen servicio, gracias por las atenciones...",4
Jose Antonio San Gonzalez,Buen servicio y comida de negocios.,4
Miguel Ángel Morales Rendón,Un lugar limpio. Se tardaron en atender. Los alimentos están bien.,2
dave Melendez,Bien a secas,3
Adriána Baez,Muy rico los desayunos y todo bien servido,4
María Buen Santa Licona Valdez,Medidas de seguridad muy buenas comida muy mejorada en el precio creo que sí es un poco elevado es lo único que yo cambiaría precios más ajustados,4
JOSE GONZALO Cruz Becerra,"Muy buena ubicación, buena atención de sus empleados.",4
ARA MORALES,"Buen servicio, respetan las normas de salud.",4
Beatriz Aguilera,¡Cenamos rico!!,3
Rafael Pérez Martínez,Me gustó el sabor de los platillos y q todavía hubiera servicio de desayuno :) siendo la 1 pm,4
Diana R,"Buena atención, pero muy ruidoso en hora pico.",3
Carmen Ramirez Contreras,Muy buena atención y muy rica la comida,4
Gustavo Lagarza,18/octubre/2020 Desayuno de 9 a 11 h.…,0
