username,review,calificacion
Andrés Talavera,"Buen ambiente, música en vivo, deliciosa comida y atención amable.",4
PLINIO TULIO BRISEÑO TREJO,"El cóctel de camarones, delicioso!",4
Victor Villanueva,Servicio aceptablemente,3
Humberto Solis Tabares,Es un lugar tranquilo para comer y los precios son muy accesibles,4
Nelly Miranda,Hermoso lugar,4
Ale Mac,"Es un lugar limpio, buen precio y es agradable",3
Franck Ruiz,Excelente lugar,4
Ernesto A,La comida tiene buen sabor,2
henry colina,Excelente.,4
dafne ortiz garcia,Agradable,2
Juan Trueba Bernal,(Traducción de Google) Encantador (Original) Delucioso,4
joseph antony,Relax! (Traducción de Google) ¡Relájate! ,3
Jesus Martinez,,4
Héctor Raúl Jardinez Huerta,,4
Karla Ortega,,3
EMMANUEL MARTINEZ,,4
hamid axel valle flores,,4
Fabian lomeli mejia,,4
Fer OG,,4
Eduardo Cruz Vásquez,,3
Mayra Ayala,,2
Adebaran30,,4
chambacuc romero,,3
Procommex Procom,,4
lizbeth martinez fragoso,,4
Miguel Cuevas,,4
raul calderon,,3
Mónica Velázquez Arenas,,4
Amairani González,,4
eduardo ruiz,,4
Hilda Bello Rodríguez,,4
Claudia G. PAG,,3
Karina Marin,,1
Jhoss Hudson,,4
Mire Ancira,,4
Jonathan T. Nuñez,,3
Jorge Bueno,,4
Esteban Mujica,,3
Janet Padilla,,4
César D González,,2
Mandu,,4
Guillermo Ernesto Montaňez Ruiz,,4
Sebastian Mier,,4
Lourdes Uribe,,4
jose manuel juarez pineda (pepe),,4
Rosario Montes,,2
Angeles Taboada,,2
angel campos mendoza,,2
