username,review,calificacion
Rosaura Reyes,Maximino 6 perdonas por mesa si van 7 sin duda te toca comer solo,3
Alberto Herzat,Excelente lugar . Muy rico todo Precio justo,4
Gudelia Espino,Sabor auténtico. Excelente servicio,3
Memo Teutli,"Buen servicio, variedad y sabor",4
Aurora Ubaldo,"Pésima experiencia. Carne super seca, poco sabor, amabilidad regular, solo ofrecen una ronda de espadas.…",0
Cecilia Garcia,Agradable lugar para comer con la familia y amigos excelentes cortes de carnes y ensaladas buena atención del personal,3
Lupita Noriega,"Antes de la pandemia el servicio y los cortes excelente, hoy q volví menos cortes y la carne un poco dura, aparte q si llevas niños pagas mas por ellos que un adulto mi hija apenas tiene 5 años y pague su cubierto, pero ella solo comió unas…",2
Iran Blanco,"Antes le daba 5 estrellas pero desafortunadamente bajaron su calidad en todo, sobre todo el servicio, he ido 3 veces los últimos meses y ya no me convencio , desafortunadamente ya esta fuera de mi lista de preferidos .…",0
Jose Luis Cisneros Acosta,Excelente servicio y muy buen buffet,4
Nayely Benavides,"Somos fans de Caipirinha! Aunque últimamente sentimos que la carne ha estado un poquito seca, esperamos que esto ayude a continuar con la calidad de este lugar ",4
Luis Adrian Gorostieta Ordaz,Un lugar de disfrutar de la variedad de los cortes. Rico y a buen precio. Cuentan con estacionamiento.,4
Ana Soto,"Con la nueva modalidad, pasan a tú mesa a servir.",4
Ana Itxel Velasco,"Buena comida y gran servicio, el lugar es muy pequeño y con pocas mesas.",3
Arantza Munguia,"Buen servicio, aun que los que reparten la carne tienen muy mal genio.",3
1029rubens,"Faltan bastantes cortes y el servicio deja mucho que decear, no lo recomiendo.",1
Edwin Aceves (Woody),"Excelente servicio por parte de las meseras, meseros y hostess. La comida es exquisita y me gustó mucho la mesera ",4
Lorena Gabriela Becerril Morales,"No sé si con la pandemia ha bajado la calidad o solo es la sucursal, hubo cortes que no pasaron, se seguían derecho con las mesas más nuevas y en otro caso hasta fue necesario que el mesero 2 veces fuera a decirles para que me llevarán un…",1
Jazmin Trejo,"Toda la atención estuvo bien, el unico inconveniente fue el postre y al momento de pedir un cambio porque ya sabia mal, el gerente me dice que el chef ya lo probó y que esta bien que me lo podía comer, como voy a comer algo que ya estaba pasado y aparte que ya había probado alguien más. No me agradó la atención del gerente.",2
FRANCISCO ALMEIDA,"Deliciosas espadas brasileñas, chorizo brasileño, pollo a la cerveza, filete miñon, picaña, molleja, costilla BBQ, lomo de cerdo, pan de ajo, chistorra, postres, todo esta delicioso, ensaladas para todos los gustos, adecuadas y precisas medidas de seguridad, para disfrutar a gusto en familia!!!",4
Mónica Rojas,Todo muuy rico,4
D TONA,"Buen lugar para ir en bola o en familia. En mi caso cena de fin de año. La comida es buena ,la barra de ensaladas tiene variedad. Las bebidas están bien servidas. Las cervezas bien frías. La carne se tardaba pero creo por la temporada. Los…",3
MARCO SÍMON FOTOGRAFO,Mal servicio comida buena según es bufet pero no pasan los carritos de comida,3
david balcazar ramos,Un delicioso gusto al paladar,4
Christian Velázquez,Mucha dila meseros con el cubrebocas abajo dejan que la gente valla a la barra sin cubrebocas los baños Asquerosos en General el restaurante es muy pequeño muchos alimentos de la barra muy salados Entre otras cosas desagradables,1
Ana Maria Baeza,Buen sabor. Excelente servicio. Mucha gente y afortunadamente no esperamos tanto tiempo para pasar.,4
